"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 24 17:17:39 GMT 2024","Wed Jul 24 17:17:39 GMT 2024","79","","","","","","GET_modified_post",""
"passed","Wed Jul 24 17:17:39 GMT 2024","Wed Jul 24 17:17:39 GMT 2024","356","","","","","","/ping",""
"failed","Wed Jul 24 17:17:39 GMT 2024","Wed Jul 24 17:17:39 GMT 2024","88","","","","","","PATCH_post",""
"passed","Wed Jul 24 17:17:39 GMT 2024","Wed Jul 24 17:17:39 GMT 2024","87","","","","","","auth",""
"passed","Wed Jul 24 17:17:39 GMT 2024","Wed Jul 24 17:17:39 GMT 2024","82","","","","","","create_booking_post",""
"failed","Wed Jul 24 17:17:39 GMT 2024","Wed Jul 24 17:17:39 GMT 2024","82","","","","","","PATCH_post_failed",""
"passed","Wed Jul 24 17:17:39 GMT 2024","Wed Jul 24 17:17:39 GMT 2024","83","","","","","","DELETE_post",""
"passed","Wed Jul 24 17:17:39 GMT 2024","Wed Jul 24 17:17:39 GMT 2024","80","","","","","","PUT_post",""
