"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 24 17:24:01 GMT 2024","Wed Jul 24 17:24:01 GMT 2024","87","","","","","","PATCH_post",""
"passed","Wed Jul 24 17:24:00 GMT 2024","Wed Jul 24 17:24:00 GMT 2024","347","","","","","","/ping",""
"passed","Wed Jul 24 17:24:00 GMT 2024","Wed Jul 24 17:24:01 GMT 2024","85","","","","","","PUT_post",""
"failed","Wed Jul 24 17:24:01 GMT 2024","Wed Jul 24 17:24:01 GMT 2024","82","","","","","","PATCH_post_failed",""
"passed","Wed Jul 24 17:24:01 GMT 2024","Wed Jul 24 17:24:01 GMT 2024","81","","","","","","GET_modified_post",""
"passed","Wed Jul 24 17:24:00 GMT 2024","Wed Jul 24 17:24:00 GMT 2024","84","","","","","","create_booking_post",""
"passed","Wed Jul 24 17:24:00 GMT 2024","Wed Jul 24 17:24:00 GMT 2024","87","","","","","","auth",""
"passed","Wed Jul 24 17:24:01 GMT 2024","Wed Jul 24 17:24:01 GMT 2024","82","","","","","","DELETE_post",""
